"Code","Country_ECDC","Region","Income_group","ACAPS_suppression_number","ACAPS_reference","Description","source","Date_suppression","Date_lastACAPSifnosuppression","WPP_Population","cases_at_suppression","deaths_at_suppression","end_exp_growth","cases_at_end_exponential","deaths_at_end_exponential","Ascertainment_fraction_median","Ascertainment_fraction_low","Ascertainment_fraction_high"
"AUS","Australia","East Asia & Pacific","High income",1,"3521","Australia goes into level 3 shutdown: Everyone should stay home unless you are: shopping for essentials, receiving medical care, exercising or travelling to work or education","https://www.pm.gov.au/media/national-cabinet-statement",2020-03-29,NA,25499.881,3809,14,2020-03-29,3809,14,0.0690161261098025,0.0233388244009278,0.185044165995645
"AUT","Austria","Europe & Central Asia","High income",1,"405","Citizens are suspend all non-essential activities outside their homes and stay in their homes for the duration for one week; ecemptions are essential work, for essential shopping or services, helping someone else, physical activity if alone or with co-living persons","https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html",2020-03-16,NA,9006.4,860,1,NA,NA,NA,NA,NA,NA
"AZE","Azerbaijan","Europe & Central Asia","Upper middle income",1,"4741","only allowed to leave place of residences under certain specific circumstances: employed as essentail workers; to seek medical assistance; go to grocery store, pharmacy, bank, postal service, attend funeral of close relative (BASED ON PERMISSION VIA SMS: send text to dedicated number with code for activity you want permission to go out for; different codes for citizens vs. foreigners currently in country. no need for permission in case of urgent life threatening matters; first from 24/03 then extended measures from 05/04. to last until 20/04","https://azerbaijan.travel/covid-19-en",2020-03-24,NA,10139.175,72,1,NA,NA,NA,NA,NA,NA
"BDI","Burundi","Sub-Saharan Africa","Low income",3,"NA","NA","NA",NA,2020-04-04,11890.781,NA,NA,NA,NA,NA,NA,NA,NA
"BEL","Belgium","Europe & Central Asia","High income",1,"894","Police enforced general lock-down limiting the leaving of ones home only for emergencies, helping others and essential errands. Gathering and meetings are prohibited. Companies required to organize telework where possible, without exeption. Measures set to last until 5th April.","https://www.belgium.be/nl/nieuws/2020/coronavirus_versterkte_maatregelen",2020-03-18,NA,11589.616,1243,5,2020-03-18,1243,5,0.0650972793212705,0.0222982239455658,0.272868965820034
"BEN","Benin","Sub-Saharan Africa","Low income",1,"2096","Towns of Cotonou, Abomey-Calavi, Allada, Ouidah, Sèmè-Podji, Porto-Novo, Akpro-Missérété and Adjarra are under lockdown and isolated from the rest of the country by checkpoints.","https://www.gouv.bj/coronavirus/mesures/",2020-03-23,NA,12123.198,2,0,NA,NA,NA,NA,NA,NA
"BFA","Burkina Faso","Sub-Saharan Africa","Low income",1,"2431","From 1900 to 0500 (curfew)","https://www.gov.uk/foreign-travel-advice/burkina-faso",2020-03-21,NA,20903.278,40,1,NA,NA,NA,NA,NA,NA
"BGD","Bangladesh","South Asia","Lower middle income",3,"NA","NA","NA",NA,2020-03-16,164689.383,NA,NA,NA,NA,NA,NA,NA,NA
"BGR","Bulgaria","Europe & Central Asia","Upper middle income",3,"NA","NA","NA",NA,2020-03-18,6948.445,NA,NA,NA,NA,NA,NA,NA,NA
"BHR","Bahrain","Middle East & North Africa","High income",1,"2957","Curfew 18.00 to 05.00 - Police enforced. ","https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS",2020-03-26,NA,1701.583,419,3,2020-03-26,419,3,0.0105537574147073,0.00369047566620132,0.0417601036527632
"BHS","Bahamas","Latin America & Caribbean","High income",1,"4774","24-hour curfew, with some exceptions for essential workers and movement. March 24-31","http://www.bahamas.gov.bs/wps/portal/public/gov/government/news/department%20of%20environmental%20health%20services%20disinfecting%20to%20limit%20spread%20of%20covid-19/!ut/p/b1/vZTJrqNIEEW_5X0Az2QyepmY0YCZJ28QkzFgBmMwhq8vv5Zaqq5Sd_WiqzNXKd3QVdw4kbvzLgKAxHFAA0Dtwt25S55VmUxV3yW3r_eZjglc0hEiWZ0VaYQrHiESlIoIyQJvQfS9QKJw-i0wNWQyMjRI_N_V439z0C_rg10oezTDP5SFNxdfe8H6Kiq9fGn0QOSU7hT1eTJG6rg3184yiTNhmDO-PSSahsKlA8Ox6FNUJVjRR4H_2IxMr0WMGxNF8fWt59xHmF1OPqASqSk5agAj2fAMX9bMiPojGEh0aCKLjHy-klIbDYPnDQeCLjSbh06b4NBN-4wwJVHsqZFVRYOo8ebSmXzvpg_zyHMmPHdauCQW9nzkbR00NIxDOF9YBA5iP5cfH7voHQLzfcYG-w6BcU1EwXdG1M7dhXVEnJKHvgiKfbHt7OInID4XeVuUJdWiNPEGVfMSG2hHdFPWxtgbzbhfmsOBmbdN3-Rxft0Xor5FSyf3BTbmdR3IK8yezy6cE1YrNbK47GmZLV4vHCPtbVaNLu5DAlI33m3VsosyCfTA9vJ0u_piGfi-g7z8IKfHhIqUeAm64VRrs2JTQi4_huTpVTfibpWCwh3GVL3n_nVtVNcLOmsCZPGUBpW4EAucecZUvRUKfuZSzUO7DjedkiZe4Ls0IdoDdeU1meQlF0hIeyUiEjaBv6rdK2uGmawSPp_kHN5Y1ZKi4KgvXX9a8ZegBvx0NdW7AXNbKPSwsxrF9dQpKW6QcaoiK4JpWrt4MWscFvkbtPNfWfwBdRX-QvC1C38I_gH2k9y3xU_zdn0cVwCObAdYOMswX_PGydip10HZms2uNws4tbA4wgJwAUKdl71TKuqnXAUnHm24h29O06zccj8PoEloLKPVqj8gHSNbvvkJMAO6-7fhAdCqR-GORPxuwx-Jpn-XoWTo1uGrQ5f76pCQZURrhCGA_9vwv4_0uDtXafu5ZO0n_kmRgKL2AO5pyEAGMDt_8jAmLfUXbz58zSbdGRpbXrByqOmecXuGAoZCzQiyuINef42twdYHq1KGZ1yZYepfQpm7bl3XTudXra5M5tBMZV3ZaT5zlpeyzGxzqZ-M93GLm7GjXn3qTizIidIC8jEwIh04CeqgdUCbepWUoHJ7Q0ujU2oZd47cB916aiFqN6ZCON-TTSNWZHp1fPqV9yW7imJmZboLn9H2IDufKuI8xlrNVgl4i6o9LXH2WIDHZkutYF8w2GNs47QgxoYgwoiJLZyBsoyvz7Q930SNGmlbXgD7513Qxzd6efKn/dl4/d5/L2dBISEvZ0FBIS9nQSEh/",2020-03-24,NA,393.248,4,0,NA,NA,NA,NA,NA,NA
"BIH","Bosnia and Herzegovina","Europe & Central Asia","Upper middle income",1,"2765","24 hours curfew for those 65+ and a general curfew of 2000 to 0500","https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS",2020-03-19,NA,3280.815,36,0,NA,NA,NA,NA,NA,NA
"BLR","Belarus","Europe & Central Asia","Upper middle income",3,"NA","NA","NA",NA,2020-03-20,9449.321,NA,NA,NA,NA,NA,NA,NA,NA
"BLZ","Belize","Latin America & Caribbean","Upper middle income",3,"NA","NA","NA",NA,2020-03-23,397.621,NA,NA,NA,NA,NA,NA,NA,NA
"BMU","Bermuda","North America","High income",4,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOL","Bolivia","Latin America & Caribbean","Lower middle income",1,"973","All public and private actvities are suspended until 15th of April, with few exceptions.","https://bo.usembassy.gov/covid-19-information/",2020-03-17,NA,11673.029,11,0,NA,NA,NA,NA,NA,NA
"BRA","Brazil","Latin America & Caribbean","Upper middle income",2,"NA","NA","NA",NA,NA,212559.409,NA,NA,2020-03-21,904,11,0.0158259149357072,0.00521404701178583,0.0444652123656575
"BRB","Barbados","Latin America & Caribbean","High income",1,"5199","curfew for all nonessential workers from march 28 to april 14 from 6pm to 6 am","https://gisbarbados.gov.bb/blog/emergency-management-covid-19-curfew-no-2-directive-2020/",2020-04-03,NA,287.371,45,0,NA,NA,NA,NA,NA,NA
"BRN","Brunei Darussalam","East Asia & Pacific","High income",3,"NA","NA","NA",NA,2020-03-21,437.483,NA,NA,NA,NA,NA,NA,NA,NA
"BTN","Bhutan","South Asia","Lower middle income",3,"NA","NA","NA",NA,2020-03-06,771.612,NA,NA,NA,NA,NA,NA,NA,NA
"BWA","Botswana","Sub-Saharan Africa","Upper middle income",1,"3926","28 day extreme social distancing will occur where people may only leave the home to perform essential services or for collecting social protection packages, purchase of usual household or agricultural supplies, and seeking emergency, lifesaving or chronic medical attention. Forms will be necessary to prove ones reaosn to leave the home.","https://www.facebook.com/BotswanaGovernment/?__tn__=kCH-R&eid=ARBs0Bkkj66hQ0oLllLK_mYzk5NTsyNQ_WP-ly6-PhnbB7US8bS-Nvh2Y_VzgeCgcF2TytqEIMOzayub&hc_ref=ARSsKjrsRAoK9JujmCjfxcq-Z-F8Rvm4LMKPIAVeSpm24BCsQi9svLmrgKg8PDMtRG4&fref=nf",2020-04-02,NA,2351.625,4,1,NA,NA,NA,NA,NA,NA
"CAF","Central African Republic","Sub-Saharan Africa","Low income",3,"NA","NA","NA",NA,2020-04-08,4829.764,NA,NA,NA,NA,NA,NA,NA,NA
"CAN","Canada","North America","High income",3,"NA","NA","NA",NA,2020-03-25,37742.157,NA,NA,2020-03-25,1959,27,0.0282645236223029,0.0104747679202613,0.0752697261242431
"CHE","Switzerland","Europe & Central Asia","High income",1,"2388","Maximum 5 person gatherings are allowed","https://www.swissinfo.ch/eng/covid-19-_-geneva-bans-gatherings-of-more-than-five-people-/45619940",2020-03-20,NA,8654.618,3888,33,2020-03-20,3888,33,0.0435613169231459,0.0169023305696777,0.12074365420359
"CHI","Channel Islands","Europe & Central Asia","High income",4,"NA","NA","NA",NA,NA,173.859,NA,NA,NA,NA,NA,NA,NA,NA
"CHL","Chile","Latin America & Caribbean","High income",1,"2572","Nationwide curfew between the hours of 2200 and 0500 until further notice.","https://www.gov.uk/foreign-travel-advice/chile",2020-03-22,NA,19116.209,537,0,NA,NA,NA,NA,NA,NA
"CHN","China","East Asia & Pacific","Upper middle income",2,"NA","NA","NA",NA,NA,1439323.774,NA,NA,2020-01-22,499,17,0.00735505457332577,0.00275740880934093,0.0211587489200664
"CIV","Cote d'Ivoire","Sub-Saharan Africa","Lower middle income",1,"2711","National curfew between 2100 and 0500.","https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/cote-d-ivoire/",2020-03-24,NA,26378.275,25,0,NA,NA,NA,NA,NA,NA
"CMR","Cameroon","Sub-Saharan Africa","Lower middle income",3,"NA","NA","NA",NA,2020-04-04,26545.864,NA,NA,2020-04-04,509,8,0.00459096238838279,0.00159839996708992,0.0127171868783116
"COD","Democratic Republic of Congo","Sub-Saharan Africa","Low income",3,"NA","NA","NA",NA,2020-04-06,89561.404,NA,NA,2020-04-06,154,18,0.00100009741208559,0.000387756146454238,0.00254534410697057
"COG","Republic of the Congo","Sub-Saharan Africa","Lower middle income",1,"3651","The entire population must confine at home for 30 days, with exception made for essential travels (buying food or medical transportation). All non essential shops are closed.","http://nwzkbpn.cluster023.hosting.ovh.net/storage/app/public/files/D%C3%A9claration%20du%20Pr%C3%A9sident%20de%20la%20R%C3%A9publique%20sur%20le%20Coronavirus%20Covid-19-2020-03-30-5e82280983017.pdf",2020-03-31,NA,5518.092,19,0,NA,NA,NA,NA,NA,NA
"COL","Colombia","Latin America & Caribbean","Upper middle income",1,"2580","National forced quarantine and confinment until 12th of april.","https://coronaviruscolombia.gov.co/Covid19/acciones-20-marzo.html",2020-03-24,NA,50882.884,306,3,2020-03-24,306,3,0.0111218129281989,0.00379688760685338,0.0476539018578792
"COM","Comoros","Sub-Saharan Africa","Lower middle income",3,"NA","NA","NA",NA,2020-04-09,869.595,NA,NA,NA,NA,NA,NA,NA,NA
"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",1,"3055","all public services and companies are closed throughout the national territory, unless they are related to essential services. Depending on the circumstances, teleworking and work from home can be used, but under no circumstances will workers be harmed in their employment and wages.","https://www.governo.cv/elevamos-o-nivel-de-contingencia-da-protecao-civil-a-situacao-de-risco-de-calamidade-ulisses-correia-e-silva/",2020-03-27,NA,555.988,5,1,NA,NA,NA,NA,NA,NA
"CRI","Costa Rica","Latin America & Caribbean","Upper middle income",1,"3970","From 8th to 12th of april, all transports, except essential (for food or medicine), are forbidden. All public transports are suspended. Essential travels are limited depending on plate numbers.","https://www.ministeriodesalud.go.cr/index.php/centro-de-prensa/noticias/741-noticias-2020/1594-en-el-marco-de-la-semana-santa-gobierno-refuerza-medidas-para-contener-el-contagio-por-el-covid-19",2020-04-08,NA,5094.114,483,2,NA,NA,NA,NA,NA,NA
"CUB","Cuba","Latin America & Caribbean","Upper middle income",3,"NA","NA","NA",NA,2020-04-12,11326.616,NA,NA,2020-04-12,620,16,0.0149534513530462,0.0051544838293658,0.0423814984252197
"CUW","Curacao","Latin America & Caribbean","High income",4,"NA","NA","NA",NA,NA,164.1,NA,NA,NA,NA,NA,NA,NA,NA
"CYM","Cayman Islands","Latin America & Caribbean","High income",4,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYP","Cyprus","Europe & Central Asia","High income",1,"2222","partial curfew will be in place for 14 days.  Individuals may only leave their residences to seek goods and services from essential personnel and businesses.  All public sector employees except for the police force, fire department, health, civil aviation, finance and similar services will be under administrative leave until March 27, 2020.  Private sector businesses except those which provide basic needs such as groceries, bakeries, gas stations, pharmacies, etc., will also be closed until at least March 27.  All business hours are restricted from 07:00 to 18:00.","https://cy.usembassy.gov/covid-19-information/",2020-03-23,NA,1207.361,95,0,NA,NA,NA,NA,NA,NA
"CZE","Czechia","Europe & Central Asia","High income",1,"456","Nationwide quarantine from 16 March until 24 March, except for essential needs, helping others and necessary trips to famillies; extended to last until 11th April","https://cz.usembassy.gov/covid-19-information/",2020-03-16,NA,10708.982,298,0,NA,NA,NA,NA,NA,NA
"DEU","Germany","Europe & Central Asia","High income",1,"5596","Only essential trips, including for work are still allowed and with more stringent public movement rules","https://www.bundesregierung.de/breg-de/themen/coronavirus/besprechung-der-bundeskanzlerin-mit-den-regierungschefinnen-und-regierungschefs-der-laender-1733248",2020-03-22,NA,83783.945,21463,67,2020-03-22,21463,67,0.19862297448616,0.078046272315964,0.463904128353365
"DJI","Djibouti","Middle East & North Africa","Lower middle income",3,"NA","NA","NA",NA,2020-03-18,988.002,NA,NA,NA,NA,NA,NA,NA,NA
"DMA","Dominica","Latin America & Caribbean","Upper middle income",3,"NA","NA","NA",NA,2020-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DNK","Denmark","Europe & Central Asia","High income",1,"1285","Prohibition of events, events, etc. with more than 10 people; provisionally valid until 30th March","https://politi.dk/coronavirus-i-danmark/seneste-tiltag-mod-spredning-af-coronavirus-covid-19",2020-03-18,NA,5792.203,1024,4,2020-03-18,1024,4,0.0415736267305428,0.013340359603463,0.184167693317626
"DOM","Dominican Republic","Latin America & Caribbean","Upper middle income",1,"1481","Evening curfew implemented from 20 March until 3 April between the hours of 8pm and 6am. Applies to all persons in the country, except those with specific exemptions.","https://www.gov.uk/foreign-travel-advice/dominican-republic/coronavirus",2020-03-20,NA,10847.904,21,0,NA,NA,NA,NA,NA,NA
"DZA","Algeria","Middle East & North Africa","Upper middle income",1,"2427","All taxis banned countrywide. Rail and public or private/public transport between wilayas has been suspended as well as public transport within urban centers.","https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS",2020-03-23,NA,43851.043,201,17,2020-03-23,201,17,0.002472826588422,0.000981845505632728,0.00725475281053996
"ECU","Ecuador","Latin America & Caribbean","Upper middle income",1,"1483","Stict confinement with a curfew from 9pm to 5am.","https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/equateur/",2020-03-17,NA,17643.06,58,2,NA,NA,NA,NA,NA,NA
"EGY","Egypt","Middle East & North Africa","Lower middle income",1,"2225","two weeks the Government of Egypt will begin enforcing a nighttime curfew from 7:00 p.m. to 6:00 a.m. Anyone who violates the curfew could face a 4000 EGP fine or possible imprisonment.","https://eg.usembassy.gov/u-s-citizen-services/covid-19-information/",2020-03-25,NA,102334.403,366,19,2020-03-25,366,19,0.00324892922926699,0.00124324252256286,0.00780199974206504
"ERI","Eritrea","Sub-Saharan Africa","Low income",1,"2679","Every person should avoid non-essential movement within the city or village of residence as well as travel to other places inside the country.  Every person should likewise avoid travel by bus, mini-bus and taxis unless in emergencies.","http://shabait.com/news/local-news/30342--ministry-of-health-public-guidelines-no-3",2020-03-23,NA,3546.427,1,0,NA,NA,NA,NA,NA,NA
"ESP","Spain","Europe & Central Asia","High income",1,"712","Movement only allowed for: travel to make essential purchases (food, hygiene, health, first necessity), in strict compliance with basic precautionary measures; travel to his place of work and return to his usual place of residence; travel to access banking services; travel to provide care and assistance to vulnerable people; travel in cases of force majeure.; fines from 100 to 600.000 EUR","https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/espagne",2020-03-16,NA,46754.783,11491,288,2020-03-16,11491,288,0.0243949817372004,0.00936417526988216,0.05313265825126
"EST","Estonia","Europe & Central Asia","High income",1,"3013","2+2 approach in all public spaces; max. 2 people out together (exception of families or same households) and minimum two meter distance at all times","https://www.kriis.ee/en/news/additional-measures-emergency-situation",2020-03-25,NA,1326.539,369,0,NA,NA,NA,NA,NA,NA
"ETH","Ethiopia","Sub-Saharan Africa","Low income",1,"5020","The government has banned gatherings of more than four people unless there is an absolute necessity, in which case permits need to be acquired from authorities. Handshakes are also not allowed.","https://www.bbc.com/news/world/africa/live",2020-04-11,NA,114963.583,65,2,NA,NA,NA,NA,NA,NA
"FIN","Finland","Europe & Central Asia","High income",1,"1329","Public gatherings are limited to no more than ten persons, and it is recommend to avoid spending unnecessary time in public places. Per state of emergency declaration","https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/hallitus-totesi-suomen-olevan-poikkeusoloissa-koronavirustilanteen-vuoksi",2020-03-16,NA,5540.718,267,0,NA,NA,NA,NA,NA,NA
"FJI","Fiji","East Asia & Pacific","Upper middle income",1,"2816","Fiji will be under a nationwide curfew from 10pm to 5am daily from Mar 30 because Fijians were not taking seriously the advice to restrict movement.","https://www.rnz.co.nz/international/pacific-news/412756/fiji-to-be-under-nationwide-curfew-from-monday",2020-03-30,NA,896.444,5,0,NA,NA,NA,NA,NA,NA
"FRA","France","Europe & Central Asia","High income",1,"783","further restrictions of movement, all people requested to remain at home unless for essential purposes starting 17 March to last until 15th April","https://www.interieur.gouv.fr/Actualites/L-actu-du-Ministere/Attestation-de-deplacement-derogatoire-et-justificatif-de-deplacement-professionnel",2020-03-17,NA,65273.512,6633,148,2020-03-17,6633,148,0.0427432216905901,0.0157930047322466,0.0928775337675226
"FRO","Faroe Islands","Europe & Central Asia","High income",4,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FSM","Micronesia (Fed. States of)","East Asia & Pacific","Lower middle income",3,"NA","NA","NA",NA,2020-04-15,115.021,NA,NA,NA,NA,NA,NA,NA,NA
"GAB","Gabon","Sub-Saharan Africa","Upper middle income",1,"1553","Country-wide curfew between the hours of 7:30 p.m. and 6:00 a.m.","https://ga.usembassy.gov/health-alert-u-s-embassy-libreville-gabon-march-21-2020/",2020-03-22,NA,2225.728,3,1,NA,NA,NA,NA,NA,NA
"GBR","United Kingdom","Europe & Central Asia","High income",1,"1876","General lockdown in UK of immediate effect. People are only permitted to leave home for 3 reasons: shoppig for basic necessities as infrequently as possible, one for of exercise a day (alone or with members of your household), any medical need, and travelling to and from work but only where this is absolutely necessary and cannot be done at home.","https://www.bbc.com/news/uk-52012432",2020-03-24,NA,67886.004,6650,359,2020-03-24,6650,359,0.0136742365046595,0.00504414202642793,0.029471244873139
"GEO","Georgia","Europe & Central Asia","Upper middle income",1,"3866","Nationwide lockdown","https://civil.ge/archives/344761",2020-03-30,NA,3989.175,90,0,NA,NA,NA,NA,NA,NA
"GHA","Ghana","Sub-Saharan Africa","Lower middle income",1,"3134","Movement of people has been restricted except to get essential items and use public bathrooms, and there shall be no inter-city movement of commerical and private vehicles/aircrafts excpet to deliver essential goods.","https://twitter.com/moigovgh/status/1243686930346360835/photo/4",2020-03-30,NA,31072.945,152,5,2020-03-30,152,5,0.00179182949327769,0.000607195587285964,0.00514713787810934
"GIB","Gibraltar","Europe & Central Asia","High income",4,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GIN","Guinea","Sub-Saharan Africa","Low income",1,"4207","National curfew from 21:00 to 05:00","https://www.gov.uk/foreign-travel-advice/guinea/coronavirus",2020-03-30,NA,13132.792,8,0,NA,NA,NA,NA,NA,NA
"GMB","Gambia","Sub-Saharan Africa","Low income",1,"3328","closure of all non-essential shops, bars, cafés, casinos, sporting  venues, and all forms of public gatherings.","https://www.journalducameroun.com/en/gambia-declares-state-of-emergency-over-covid-19/",2020-04-01,NA,2416.664,4,1,NA,NA,NA,NA,NA,NA
"GNB","Guinea-Bissau","Sub-Saharan Africa","Low income",1,"4153","movements are restricted to essential ones, while citizens are asked to stay at home.","https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening",2020-03-28,NA,1967.998,2,0,NA,NA,NA,NA,NA,NA
"GNQ","Equatorial Guinea","Sub-Saharan Africa","Upper middle income",1,"3664","Under 30 day Health State of Alarm: a temporary suspension of all types of demonstration or gathering of over TEN (10) people in the same place, together with the celebration of parties, traditional weddings, wakes or funerals, burials, gaming rooms, beleles, parks, fairs and other similar events.","https://www.guineaecuatorialpress.com/noticia.php?id=15226",2020-03-31,NA,1402.985,14,0,NA,NA,NA,NA,NA,NA
"GRC","Greece","Europe & Central Asia","High income",1,"2244","A curfew is in effect March 23 – April 6 throughout Greece.  Violators will be fined 150 Euros per violation.  You must carry your passport or other identification at all times and have a valid reason to be out.  Follow instructions on the Greek authority’s website.  Type A movement is for work (contact your employer), Type B is an essential personal movement (supermarket, pharmacy, etc. as defined on the form).","https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS",2020-03-23,NA,10423.056,624,15,2020-03-23,624,15,0.0176973581587941,0.00686308583696652,0.0493566432736743
"GRD","Grenada","Latin America & Caribbean","Upper middle income",3,"NA","NA","NA",NA,2020-03-24,112.519,NA,NA,NA,NA,NA,NA,NA,NA
"GRL","Greenland","Europe & Central Asia","High income",4,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GTM","Guatemala","Latin America & Caribbean","Upper middle income",1,"2346","effective Sunday, March 22, a nationwide curfew will take effect. The curfew is from 4:00 p.m. to 4:00 a.m. and is scheduled to be in effect until March 29. Everyone in Guatemala, including foreigners, is expected to remain in their homes during curfew hours. The only exceptions are for police, private security, medical professionals and ambulances, food delivery drivers, and certain other essential personnel. While food delivery service will continue during the curfew, grocery stores are expected to close before the curfew takes effect. The Guatemalan police and security forces will enforce the curfew.","https://gt.usembassy.gov/guatemala-begins-curfew-starting-march-22/",2020-03-22,NA,17915.567,17,1,NA,NA,NA,NA,NA,NA
"GUM","Guam","East Asia & Pacific","High income",4,"NA","NA","NA",NA,NA,168.783,NA,NA,NA,NA,NA,NA,NA,NA
"GUY","Guyana","Latin America & Caribbean","Upper middle income",4,"NA","NA","NA",NA,NA,786.559,NA,NA,NA,NA,NA,NA,NA,NA
"HKG","Hong Kong SAR, China","East Asia & Pacific","High income",1,"4470","Group gatherings of more than four people in public places are prohibited, from midnight on March 29 for 14 days, until April 11. Twelve types of group gatherings are exempted, including group gatherings for the purposes of or related to transportation, performing any governmental function, at a place of work for the purposes of work, and of persons living in the same household. Offenders are liable to a maximum penalty of a $25,000 fine and imprisonment for six months.","https://www.news.gov.hk/eng/2020/03/20200328/20200328_110413_745.html?type=category&name=covid19&tl=t",2020-04-10,NA,7496.988,NA,NA,NA,NA,NA,NA,NA,NA
"HND","Honduras","Latin America & Caribbean","Lower middle income",1,"2349","On March 16, 2020, the Government of Honduras announced a total curfew in Tegucigalpa, Choluteca and La Ceiba, which was later extended to the entire country until Sunday, March 29, and could potentially be extended after this time. This curfew severely limits the movement of the general population. According to the announcement, individuals encountered outside without a legitimate reason, such as a medical emergency, risk arrest by police.","https://hn.usembassy.gov/covid-19-information/",2020-03-16,NA,9904.608,6,0,NA,NA,NA,NA,NA,NA
"HRV","Croatia","Europe & Central Asia","High income",1,"2925","Intercity travel and vehicular traffic is suspended, with exceptions for essential workers and reasons","https://hr.usembassy.gov/covid-19-information-2/",2020-03-23,NA,4105.268,235,0,NA,NA,NA,NA,NA,NA
